timestamp,test_name,k,g,s,success_rate,trials
2026-09-08T23:43:47.521457,Test 1,2,10,6,100.0,10
2026-09-08T23:43:47.521457,Test 2,2,10,6,100.0,10
2026-09-08T23:43:47.521457,Test 3,2,10,6,40.0,10
2026-09-08T23:43:47.524355,Test 1,2,10,7,100.0,10
2026-09-08T23:43:47.524355,Test 2,2,10,7,100.0,10
2026-09-08T23:43:47.524355,Test 3,2,10,7,10.0,10
2026-09-08T23:43:47.527041,Test 1,2,10,8,100.0,10
2026-09-08T23:43:47.527041,Test 2,2,10,8,100.0,10
2026-09-08T23:43:47.527041,Test 3,2,10,8,0.0,10
2026-09-08T23:43:47.529950,Test 1,2,12,2,100.0,10
2026-09-08T23:43:47.529950,Test 2,2,12,2,100.0,10
2026-09-08T23:43:47.529950,Test 3,2,12,2,90.0,10
2026-09-08T23:43:47.532578,Test 1,2,12,3,100.0,10
2026-09-08T23:43:47.532578,Test 2,2,12,3,100.0,10
2026-09-08T23:43:47.532578,Test 3,2,12,3,80.0,10
2026-09-08T23:43:47.535314,Test 1,2,12,4,100.0,10
2026-09-08T23:43:47.535314,Test 2,2,12,4,100.0,10
2026-09-08T23:43:47.535314,Test 3,2,12,4,100.0,10
2026-09-08T23:43:47.538332,Test 1,2,12,5,100.0,10
2026-09-08T23:43:47.538332,Test 2,2,12,5,100.0,10
2026-09-08T23:43:47.538332,Test 3,2,12,5,20.0,10
2026-09-08T23:43:47.541242,Test 1,2,12,6,100.0,10
2026-09-08T23:43:47.541242,Test 2,2,12,6,100.0,10
2026-09-08T23:43:47.541242,Test 3,2,12,6,30.0,10
2026-09-08T23:43:47.544166,Test 1,2,12,7,100.0,10
2026-09-08T23:43:47.544166,Test 2,2,12,7,100.0,10
2026-09-08T23:43:47.544166,Test 3,2,12,7,10.0,10
2026-09-08T23:43:47.547485,Test 1,2,12,8,100.0,10
2026-09-08T23:43:47.547485,Test 2,2,12,8,100.0,10
2026-09-08T23:43:47.547485,Test 3,2,12,8,10.0,10
2026-09-08T23:43:47.549682,Test 1,4,5,2,100.0,10
2026-09-08T23:43:47.549682,Test 2,4,5,2,100.0,10
2026-09-08T23:43:47.549682,Test 3,4,5,2,70.0,10
2026-09-08T23:43:47.551892,Test 1,4,5,3,100.0,10
2026-09-08T23:43:47.551892,Test 2,4,5,3,100.0,10
2026-09-08T23:43:47.551892,Test 3,4,5,3,0.0,10
2026-09-08T23:43:47.554251,Test 1,4,5,4,100.0,10
2026-09-08T23:43:47.554251,Test 2,4,5,4,100.0,10
2026-09-08T23:43:47.554251,Test 3,4,5,4,0.0,10
2026-09-08T23:43:47.557178,Test 1,4,5,5,100.0,10
2026-09-08T23:43:47.557178,Test 2,4,5,5,100.0,10
2026-09-08T23:43:47.557178,Test 3,4,5,5,0.0,10
2026-09-08T23:43:47.559704,Test 1,4,6,2,100.0,10
2026-09-08T23:43:47.559704,Test 2,4,6,2,100.0,10
2026-09-08T23:43:47.559704,Test 3,4,6,2,80.0,10
2026-09-08T23:43:47.562590,Test 1,4,6,3,100.0,10
2026-09-08T23:43:47.562590,Test 2,4,6,3,100.0,10
2026-09-08T23:43:47.562590,Test 3,4,6,3,10.0,10
2026-09-08T23:43:47.566340,Test 1,4,6,4,100.0,10
2026-09-08T23:43:47.566340,Test 2,4,6,4,100.0,10
2026-09-08T23:43:47.566340,Test 3,4,6,4,0.0,10
2026-09-08T23:43:47.568929,Test 1,4,6,5,100.0,10
2026-09-08T23:43:47.568929,Test 2,4,6,5,100.0,10
2026-09-08T23:43:47.568929,Test 3,4,6,5,0.0,10
2026-09-08T23:43:47.571991,Test 1,4,6,6,100.0,10
2026-09-08T23:43:47.571991,Test 2,4,6,6,100.0,10
2026-09-08T23:43:47.571991,Test 3,4,6,6,0.0,10
2026-09-08T23:43:47.574731,Test 1,4,8,2,100.0,10
2026-09-08T23:43:47.574731,Test 2,4,8,2,100.0,10
2026-09-08T23:43:47.574731,Test 3,4,8,2,50.0,10
2026-09-08T23:43:47.577648,Test 1,4,8,3,100.0,10
2026-09-08T23:43:47.577648,Test 2,4,8,3,100.0,10
2026-09-08T23:43:47.577648,Test 3,4,8,3,10.0,10
2026-09-08T23:43:47.581034,Test 1,4,8,4,100.0,10
2026-09-08T23:43:47.581034,Test 2,4,8,4,100.0,10
2026-09-08T23:43:47.581034,Test 3,4,8,4,0.0,10
2026-09-08T23:43:47.584095,Test 1,4,8,5,100.0,10
2026-09-08T23:43:47.584095,Test 2,4,8,5,100.0,10
2026-09-08T23:43:47.584095,Test 3,4,8,5,0.0,10
2026-09-08T23:43:47.587341,Test 1,4,8,6,100.0,10
2026-09-08T23:43:47.587341,Test 2,4,8,6,100.0,10
2026-09-08T23:43:47.587341,Test 3,4,8,6,0.0,10
2026-09-08T23:43:47.590848,Test 1,4,8,7,100.0,10
2026-09-08T23:43:47.590848,Test 2,4,8,7,100.0,10
2026-09-08T23:43:47.590848,Test 3,4,8,7,0.0,10
2026-09-08T23:43:47.594175,Test 1,4,8,8,100.0,10
2026-09-08T23:43:47.594175,Test 2,4,8,8,100.0,10
2026-09-08T23:43:47.594175,Test 3,4,8,8,0.0,10
2026-09-08T23:43:47.597761,Test 1,4,10,2,100.0,10
2026-09-08T23:43:47.597761,Test 2,4,10,2,100.0,10
2026-09-08T23:43:47.597761,Test 3,4,10,2,60.0,10
2026-09-08T23:43:47.601076,Test 1,4,10,3,100.0,10
2026-09-08T23:43:47.601076,Test 2,4,10,3,100.0,10
2026-09-08T23:43:47.601076,Test 3,4,10,3,20.0,10
2026-09-08T23:43:47.604728,Test 1,4,10,4,100.0,10
